title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems,keywords
Alec Baldwin returns to ‘SNL’ in the cold open… but not as Donald Trump | CNN,Alli Rosenbloom,CNN,"Alec Baldwin showed up again on the latest episode of “Saturday Night Live,” but not in his previous capacity impersonating former US President Donald Trump.","Alec Baldwin showed up again on the latest episode of Saturday Night Live, but not in his previous capacity impersonating former US President Donald Trump.
This time, Baldwin played FOX News anchor … [+1853 chars]",20-10-2024,https://www.cnn.com/2024/10/20/entertainment/alec-baldwin-snl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/still-21055740-214275-48200000002-still.jpg?c=16x9&q=w_800,c_fill",alec baldwin returns to snl in the cold open but not as donald trump cnn alec baldwin showed up again on the latest episode of saturday night live but not in his previous capacity impersonating former us president donald trump this time baldwin played fox news anchor chars,"['alec', 'baldwin', 'returns', 'snl', 'cold', 'open', 'donald', 'trump', 'cnn', 'alec', 'baldwin', 'showed', 'latest', 'episode', 'saturday', 'night', 'live', 'previous', 'capacity', 'impersonating', 'former', 'us', 'president', 'donald', 'trump', 'time', 'baldwin', 'played', 'fox', 'news', 'anchor', 'chars']",,[]
'Monsters' star Cooper Koch was told his 'gay voice' would hinder his career,Ryan Coleman,Entertainment Weekly,"Cooper Koch is a standout as Erik Menéndez in Netflix's 'Monsters,' but an acting teacher once told him his 'gay voice' would prevent him from booking roles.","One of the hardest things about being queer in Hollywood is everyone telling you how impossible it'll be to succeed in Hollywood if you're queer.
Cooper Koch, one of the breakout stars of Monsters: … [+3016 chars]",20-10-2024,https://ew.com/monsters-star-cooper-koch-acting-teacher-gay-voice-8728594,https://ew.com/thmb/UhN0TGpMqpsSjhbTbxUxWoh0tKQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Cooper-Koch-MONSTERS-101524-0eb459d5662d4152a0918d85c4642347.jpg,monsters star cooper koch was told his gay voice would hinder his career one of the hardest things about being queer in hollywood is everyone telling you how impossible it will be to succeed in hollywood if you are queer cooper koch one of the breakout stars of monsters chars,"['monsters', 'star', 'cooper', 'koch', 'told', 'gay', 'voice', 'would', 'hinder', 'career', 'one', 'hardest', 'things', 'queer', 'hollywood', 'everyone', 'telling', 'impossible', 'succeed', 'hollywood', 'queer', 'cooper', 'koch', 'one', 'breakout', 'stars', 'monsters', 'chars']",,[]
Trump says he overpowered an older Arnold Palmer in golf and reveals how golfers reacted to Palmer in shower,Jackson Thompson,Fox News,"Former President Trump claims to have competed against golf legend Arnold Palmer at his own game, but he had a notable age advantage.","Former President Trump claims to have competed against golf legend Arnold Palmer at his own game, but with a notable age advantage. 
Trump explained during a rally in Pennsylvania Saturday at Arnold… [+3566 chars]",20-10-2024,https://www.foxnews.com/sports/trump-says-he-overpowered-older-arnold-palmer-golf-reveals-how-golfers-reacted-him-shower,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/trump-golf.jpg,trump says he overpowered an older arnold palmer in golf and reveals how golfers reacted to palmer in shower former president trump claims to have competed against golf legend arnold palmer at his own game but with a notable age advantage trump explained during a rally in pennsylvania saturday at arnold chars,"['trump', 'says', 'overpowered', 'older', 'arnold', 'palmer', 'golf', 'reveals', 'golfers', 'reacted', 'palmer', 'shower', 'former', 'president', 'trump', 'claims', 'competed', 'golf', 'legend', 'arnold', 'palmer', 'game', 'notable', 'age', 'advantage', 'trump', 'explained', 'rally', 'pennsylvania', 'saturday', 'arnold', 'chars']",,[]
"Harris recruits pop stars Usher, Lizzo for swing state pushes: 'It's going to be a tight race'",Brie Stimson,Fox News,Musicians Usher and Lizzo both stumped for Vice President Kamala Harris at separate rallies in Georgia and Michigan on Saturday with just 17 days left until the presidential election.,"Vice President Kamala Harris was joined by pop stars Usher and Lizzo at separate rallies in Georgia and Michigan, respectively, on Saturday, as the Democratic presidential nominee continued her push … [+2548 chars]",20-10-2024,https://www.foxnews.com/politics/harris-recruits-pop-stars-usher-lizzo-swing-state-pushes-tight-race,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/usher-lizzo-kamala.jpg,harris recruits pop stars usher lizzo for swing state pushes it is going to be a tight race vice president kamala harris was joined by pop stars usher and lizzo at separate rallies in georgia and michigan respectively on saturday as the democratic presidential nominee continued her push chars,"['harris', 'recruits', 'pop', 'stars', 'usher', 'lizzo', 'swing', 'state', 'pushes', 'going', 'tight', 'race', 'vice', 'president', 'kamala', 'harris', 'joined', 'pop', 'stars', 'usher', 'lizzo', 'separate', 'rallies', 'georgia', 'michigan', 'respectively', 'saturday', 'democratic', 'presidential', 'nominee', 'continued', 'push', 'chars']",,[]
"Harris appears to agree with protester accusing Israel of genocide: ‘What he’s talking about, it’s real’",Sarah Rumpf-Whitten,Fox News,"Vice President Kamala Harris appeared to agree with an interrupting protester who accused Israel of genocide, saying, ""What he’s talking about, it’s real.""","Vice President Kamala Harris appeared to agree with an anti-Israel protester who accused the Jewish state of genocide during a campaign stop.
A video of the exchange during a campaign stop Thursday … [+2091 chars]",20-10-2024,https://www.foxnews.com/politics/harris-appears-agrees-protestor-accusing-israel-genocide-what-hes-talking-about-its-real,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/b65df3d5-thumb1.jpg,harris appears to agree with protester accusing israel of genocide what he s talking about it s real vice president kamala harris appeared to agree with an anti israel protester who accused the jewish state of genocide during a campaign stop a video of the exchange during a campaign stop thursday chars,"['harris', 'appears', 'agree', 'protester', 'accusing', 'israel', 'genocide', 'talking', 'real', 'vice', 'president', 'kamala', 'harris', 'appeared', 'agree', 'anti', 'israel', 'protester', 'accused', 'jewish', 'state', 'genocide', 'campaign', 'stop', 'video', 'exchange', 'campaign', 'stop', 'thursday', 'chars']",,[]
Tennessee upsets Alabama in SEC thriller; second loss of season puts Crimson Tide's playoff hopes in jeopardy,Chantz Martin,Fox News,The Tennessee Volunteers and head coach Josh Heupel earned what many would consider a statement win on Saturday when they upset Alabama.,"The Southeastern Conference showdown between seventh-ranked Alabama and No. 11 Tennessee was one of the most anticipated games on the Week 8 college football slate. 
The matchup lived up to the hype… [+2288 chars]",20-10-2024,https://www.foxnews.com/sports/tennessee-upsets-alabama-sec-showdown-second-loss-season-puts-crimson-tides-playoff-hopes-jeopardy,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/nico-iamaleava-tn.jpg,tennessee upsets alabama in sec thriller second loss of season puts crimson tide is playoff hopes in jeopardy the southeastern conference showdown between seventh ranked alabama and no tennessee was one of the most anticipated games on the week college football slate the matchup lived up to the hype chars,"['tennessee', 'upsets', 'alabama', 'sec', 'thriller', 'second', 'loss', 'season', 'puts', 'crimson', 'tide', 'playoff', 'hopes', 'jeopardy', 'southeastern', 'conference', 'showdown', 'seventh', 'ranked', 'alabama', 'tennessee', 'one', 'anticipated', 'games', 'week', 'college', 'football', 'slate', 'matchup', 'lived', 'hype', 'chars']",,[]
Steelers add security measures for Trump's attendance at game against Aaron Rodgers' Jets,Jackson Thompson,Fox News,The Pittsburgh Steelers released a statement Saturday announcing new security protocols and warning fans about potential delays with Trump planning to attend Sunday's game.,"With former President Trump planning to attend the Pittsburgh Steelers' game Sunday night, the team has made security upgrades. Trump will be there to watch Steelers quarterback Russell Wilson make h… [+2909 chars]",20-10-2024,https://www.foxnews.com/sports/steelers-add-security-measures-trumps-attendance-game-against-aaron-rodgers-jets,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/acrisure-stadium-1.jpg,steelers add security measures for trump is attendance at game against aaron rodgers jets with former president trump planning to attend the pittsburgh steelers game sunday night the team has made security upgrades trump will be there to watch steelers quarterback russell wilson make h chars,"['steelers', 'add', 'security', 'measures', 'trump', 'attendance', 'game', 'aaron', 'rodgers', 'jets', 'former', 'president', 'trump', 'planning', 'attend', 'pittsburgh', 'steelers', 'game', 'sunday', 'night', 'team', 'made', 'security', 'upgrades', 'trump', 'watch', 'steelers', 'quarterback', 'russell', 'wilson', 'make', 'h', 'chars']",,[]
Juan Soto sends the Yankees to the World Series for the first time in 15 years,Jackson Thompson,Fox News,Juan Soto hit a three-run home run on Saturday to bring the American League pennant back to the Bronx for the first time since 2009.,"The New York Yankees are going to the World Series for the first time since Obama's first year in office. 
Juan Soto hit a three-run home run on Saturday to bring the American League pennant back to… [+3284 chars]",20-10-2024,https://www.foxnews.com/sports/juan-soto-sends-yankees-world-series-first-time-15-years,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/yankees-ws.jpg,juan soto sends the yankees to the world series for the first time in years the new york yankees are going to the world series for the first time since obama is first year in office juan soto hit a three run home run on saturday to bring the american league pennant back to chars,"['juan', 'soto', 'sends', 'yankees', 'world', 'series', 'first', 'time', 'years', 'new', 'york', 'yankees', 'going', 'world', 'series', 'first', 'time', 'since', 'obama', 'first', 'year', 'office', 'juan', 'soto', 'hit', 'three', 'run', 'home', 'run', 'saturday', 'bring', 'american', 'league', 'pennant', 'back', 'chars']",,[]
"Shooting at Mississippi trail ride leaves 3 dead, 8 wounded: sheriff",Landon Mion,Fox News,"Three people were killed and eight others were wounded in a shooting at a trail ride party in Holmes County, Mississippi, following a school's homecoming football win.","Three people were killed and eight others were wounded in a shooting at a trail ride party in Holmes County, Mississippi, as they were celebrating a school's homecoming football win several hours aft… [+1184 chars]",20-10-2024,https://www.foxnews.com/us/shooting-mississippi-trail-ride-leaves-3-dead-8-wounded-sheriff,https://static.foxnews.com/foxnews.com/content/uploads/2021/01/Police-Siren-iStock-2.jpg,shooting at mississippi trail ride leaves dead wounded sheriff three people were killed and eight others were wounded in a shooting at a trail ride party in holmes county mississippi as they were celebrating a school is homecoming football win several hours aft chars,"['shooting', 'mississippi', 'trail', 'ride', 'leaves', 'dead', 'wounded', 'sheriff', 'three', 'people', 'killed', 'eight', 'others', 'wounded', 'shooting', 'trail', 'ride', 'party', 'holmes', 'county', 'mississippi', 'celebrating', 'school', 'homecoming', 'football', 'win', 'several', 'hours', 'aft', 'chars']",,[]
Deion Sanders accuses Obama of 'playing political games' by picking Arizona to beat Colorado,Jackson Thompson,Fox News,Colorado head coach Deion Sanders called out Barack Obama after the former president incorrectly predicted Arizona would beat Sanders' Colorado Buffaloes.,"Colorado head coach Deion Sanders says he likes Barack Obama, but he had to call the former president out this week. 
Obama picked the Arizona Wildcats to beat Sanders' Buffaloes in a game Saturday.… [+3894 chars]",20-10-2024,https://www.foxnews.com/sports/deion-sanders-accuses-obama-playing-politics-picking-arizona-beat-colorado,https://static.foxnews.com/foxnews.com/content/uploads/2024/09/UCF-Colorado-Deion-Sanders.jpg,deion sanders accuses obama of playing political games by picking arizona to beat colorado colorado head coach deion sanders says he likes barack obama but he had to call the former president out this week obama picked the arizona wildcats to beat sanders buffaloes in a game saturday chars,"['deion', 'sanders', 'accuses', 'obama', 'playing', 'political', 'games', 'picking', 'arizona', 'beat', 'colorado', 'colorado', 'head', 'coach', 'deion', 'sanders', 'says', 'likes', 'barack', 'obama', 'call', 'former', 'president', 'week', 'obama', 'picked', 'arizona', 'wildcats', 'beat', 'sanders', 'buffaloes', 'game', 'saturday', 'chars']",,[]
"Hotel guest heard 'loud, violent scream' from Liam Payne's room before singer's death: report",Ashley Hume,Fox News,"A hotel guest staying at the CasaSur Palermo Hotel reportedly heard a ""really loud, violent scream"" coming from Liam Payne's room prior to the One Direction singer's death.","A guest staying at the CasaSur Palermo Hotel heard a ""really loud, violent scream"" coming from Liam Payne's room before the One Direction singer's death, according to a new report.
Payne died at the… [+4876 chars]",20-10-2024,https://www.foxnews.com/entertainment/hotel-guest-heard-loud-violent-scream-liam-paynes-room-before-singers-death,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/liam2.jpg,hotel guest heard loud violent scream from liam payne is room before singer is death report a guest staying at the casasur palermo hotel heard a really loud violent scream coming from liam payne is room before the one direction singer is death according to a new report payne died at the chars,"['hotel', 'guest', 'heard', 'loud', 'violent', 'scream', 'liam', 'payne', 'room', 'singer', 'death', 'report', 'guest', 'staying', 'casasur', 'palermo', 'hotel', 'heard', 'really', 'loud', 'violent', 'scream', 'coming', 'liam', 'payne', 'room', 'one', 'direction', 'singer', 'death', 'according', 'new', 'report', 'payne', 'died', 'chars']",,[]
Shirley MacLaine explains why she and Jack Nicholson never had an affair,Ashley Hume,Fox News,Shirley MacLaine claimed that she had affairs with all of her leading men except for Jack Nicholson and Jack Lemmon. MacLaine was in a 28-year open marriage.,"Shirley MacLaine shared candid details about her love life in her upcoming memoir.
The 90-year-old actress, who previously penned her best-selling 1983 autobiography ""Out on a Limb,"" will release he… [+2975 chars]",20-10-2024,https://www.foxnews.com/entertainment/shirley-maclaine-explains-why-she-jack-nicholson-never-had-affair,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/jack_shirley.jpg,shirley maclaine explains why she and jack nicholson never had an affair shirley maclaine shared candid details about her love life in her upcoming memoir the year old actress who previously penned her best selling autobiography out on a limb will release he chars,"['shirley', 'maclaine', 'explains', 'jack', 'nicholson', 'never', 'affair', 'shirley', 'maclaine', 'shared', 'candid', 'details', 'love', 'life', 'upcoming', 'memoir', 'year', 'old', 'actress', 'previously', 'penned', 'best', 'selling', 'autobiography', 'limb', 'release', 'chars']",,[]
Patriots rookie QB Drake Maye floats theory on why NFL fans in UK should support his team,Chantz Martin,Fox News,The rookie QB presented an argument which appeared to be directed at football fans based in the United Kingdom who might be on the fence about which NFL team they should back.,"The New England Patriots are the latest NFL team to make the trip across the Atlantic Ocean for a game in the United Kingdom.
At some point after the players arrive in London, they typically engage … [+2234 chars]",20-10-2024,https://www.foxnews.com/sports/patriots-rookie-qb-drake-maye-floats-theory-why-nfl-fans-uk-should-support-his-team,https://static.foxnews.com/foxnews.com/content/uploads/2024/06/drake-maye-pats.jpg,patriots rookie qb drake maye floats theory on why nfl fans in uk should support his team the new england patriots are the latest nfl team to make the trip across the atlantic ocean for a game in the united kingdom at some point after the players arrive in london they typically engage chars,"['patriots', 'rookie', 'qb', 'drake', 'maye', 'floats', 'theory', 'nfl', 'fans', 'uk', 'support', 'team', 'new', 'england', 'patriots', 'latest', 'nfl', 'team', 'make', 'trip', 'across', 'atlantic', 'ocean', 'game', 'united', 'kingdom', 'point', 'players', 'arrive', 'london', 'typically', 'engage', 'chars']",,[]
"Ferry dock collapse on Sapelo Island kills 7 people, injures several others",Andrea Margolis,Fox News,Georgia officials are investigating after a freak ferry dock collapse on Sapelo Island killed at least seven people and injured an unknown number of others.,"At least seven people were killed in a freak accident Saturday, after the gangway of a ferry dock in Georgia collapsed, according to local authorities.
A portion of the Marsh Landing Dock on Sapelo … [+1906 chars]",20-10-2024,https://www.foxnews.com/us/least-7-people-killed-georgia-ferry-dock-collapse-officials,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/screenshot-2024-10-19-201746.png,ferry dock collapse on sapelo island kills people injures several others at least seven people were killed in a freak accident saturday after the gangway of a ferry dock in georgia collapsed according to local authorities a portion of the marsh landing dock on sapelo chars,"['ferry', 'dock', 'collapse', 'sapelo', 'island', 'kills', 'people', 'injures', 'several', 'others', 'least', 'seven', 'people', 'killed', 'freak', 'accident', 'saturday', 'gangway', 'ferry', 'dock', 'georgia', 'collapsed', 'according', 'local', 'authorities', 'portion', 'marsh', 'landing', 'dock', 'sapelo', 'chars']",,[]
"Trump asks Pennsylvania crowd, 'Are you better off now than you were four years ago?'",Jasmine Baehr,Fox News,"Former President Trump painted an optimistic, pro-manufacturing picture for a crowd attending his rally in Latrobe, Pennsylvania, Saturday, receiving the endorsement of local steelworkers.","Former President Trump echoed Ronald Reagan on Saturday during a spirited battleground outdoor rally at Arnold Palmer Regional Airport in Latrobe, Pennsylvania, asking, ""Are you better off now than y… [+4399 chars]",20-10-2024,https://www.foxnews.com/politics/trump-asks-pennsylvania-crowd-are-you-better-off-now-than-you-were-four-years-ago,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/trump-rally-latrobe.jpg,trump asks pennsylvania crowd are you better off now than you were four years ago former president trump echoed ronald reagan on saturday during a spirited battleground outdoor rally at arnold palmer regional airport in latrobe pennsylvania asking are you better off now than y chars,"['trump', 'asks', 'pennsylvania', 'crowd', 'better', 'four', 'years', 'ago', 'former', 'president', 'trump', 'echoed', 'ronald', 'reagan', 'saturday', 'spirited', 'battleground', 'outdoor', 'rally', 'arnold', 'palmer', 'regional', 'airport', 'latrobe', 'pennsylvania', 'asking', 'better', 'chars']",,[]
No. 22 Illinois beats No. 24 Michigan 21-7 for its first win over the Wolverines since 2009,By STEVE STEIN - Associated Press,Associated Press,"Luke Altmyer threw for a touchdown and ran for another, leading No. 22 Illinois to a 21-7 victory over No. 24 Michigan. Tanner Arkin caught a 2-yard touchdown pass from Altmyer in the second quarter and raced 36 yards on…","By STEVE STEIN - Associated Press
CHAMPAIGN, Ill. (AP) Luke Altmyer threw for a touchdown and ran for another, leading No. 22 Illinois to a 21-7 victory over No. 24 Michigan on Saturday.
Tanner Ark… [+2445 chars]",20-10-2024,https://apnews.com/article/illinois-michigan-football-score-2d3607edb207097979ed3dde29d82b93,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/d/ee/deecea27-b31d-5808-a212-018aaf2651a4/6714462e018de.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,no illinois beats no michigan for its first win over the wolverines since by steve stein associated press champaign ill luke altmyer threw for a touchdown and ran for another leading no illinois to a victory over no michigan on saturday tanner ark chars,"['illinois', 'beats', 'michigan', 'first', 'win', 'wolverines', 'since', 'steve', 'stein', 'associated', 'press', 'champaign', 'ill', 'luke', 'altmyer', 'threw', 'touchdown', 'ran', 'another', 'leading', 'illinois', 'victory', 'michigan', 'saturday', 'tanner', 'ark', 'chars']",,[]
