title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems
MAN UP Gloucestershire boosts men's mental health,Dawn Limbu & Nicky Price,BBC News,MAN UP Gloucestershire provides a weekly drop in session for men to talk about their mental health.,"James Gorton, the groups new session coordinator, first attended in 2022 after his GP recommended it. 
He said the group provided men with a judgment-free space to share experiences with like-minded… [+409 chars]",2024-11-03,https://www.bbc.co.uk/news/articles/cpwr2590qgvo,https://ichef.bbci.co.uk/news/1024/branded_news/2ce6/live/a6b17480-9612-11ef-83ca-a3329ade90f4.jpg,man up gloucestershire boosts men is mental health james gorton the groups new session coordinator first attended in  after his gp recommended it he said the group provided men with a judgment free space to share experiences with like minded  chars,"['man', 'gloucestershire', 'boosts', 'men', 'mental', 'health', 'james', 'gorton', 'groups', 'new', 'session', 'coordinator', 'first', 'attended', 'gp', 'recommended', 'said', 'group', 'provided', 'men', 'judgment', 'free', 'space', 'share', 'experiences', 'like', 'minded', 'chars']",man gloucestershire boost men mental health james gorton group new session coordinator first attended gp recommended said group provided men judgment free space share experience like minded char
"I solo parent triplets and had no choice but to teach them independence. At 3, they know how to load the washing machine and set the table.",insider@insider.com (MaryLou Costa),Business Insider,"Megan Smyth has 3-year-old triplets. Because she solo parents, the boys know how to set the table and put clothes in the washer.","This as-told-to essay is based on a conversation with Megan Smyth, mom to 3-year-old triplets. It has been edited for length and clarity.
Eighteen months ago, I became the sole parent of three ident… [+3943 chars]",2024-11-03,https://www.businessinsider.com/raising-triplets-had-to-teach-them-independence-2024-11,https://i.insider.com/671fe20501ea6d83dee492a1?width=1200&format=jpeg,i solo parent triplets and had no choice but to teach them independence at  they know how to load the washing machine and set the table this as told to essay is based on a conversation with megan smyth mom to  year old triplets it has been edited for length and clarity eighteen months ago i became the sole parent of three ident  chars,"['solo', 'parent', 'triplets', 'choice', 'teach', 'independence', 'know', 'load', 'washing', 'machine', 'set', 'table', 'told', 'essay', 'based', 'conversation', 'megan', 'smyth', 'mom', 'year', 'old', 'triplets', 'edited', 'length', 'clarity', 'eighteen', 'months', 'ago', 'became', 'sole', 'parent', 'three', 'ident', 'chars']",solo parent triplet choice teach independence know load washing machine set table told essay based conversation megan smyth mom year old triplet edited length clarity eighteen month ago became sole parent three ident char
Australia to slash $10 billion off student debt amid cost of living pressures,Cnbc,CNBC,"If reelected, Labor would also legislate to guarantee 100,000 free places each year at the country's Technical and Further Education institutes, Albanese said.","Australian Prime Minister Anthony Albanese said on Sunday that his government planned to cut student loans for around three million Australians by 20%, wiping off around 16 billion Australian dollars… [+1360 chars]",2024-11-03,https://www.cnbc.com/2024/11/03/australia-to-slash-10-billion-off-student-debt-amid-cost-of-living-pressures.html,https://image.cnbcfm.com/api/v1/image/108056667-1730609928777-gettyimages-519301718-90044861.jpeg?v=1730610022&w=1920&h=1080,australia to slash  billion off student debt amid cost of living pressures australian prime minister anthony albanese said on sunday that his government planned to cut student loans for around three million australians by  wiping off around  billion australian dollars  chars,"['australia', 'slash', 'billion', 'student', 'debt', 'amid', 'cost', 'living', 'pressures', 'australian', 'prime', 'minister', 'anthony', 'albanese', 'said', 'sunday', 'government', 'planned', 'cut', 'student', 'loans', 'around', 'three', 'million', 'australians', 'wiping', 'around', 'billion', 'australian', 'dollars', 'chars']",australia slash billion student debt amid cost living pressure australian prime minister anthony albanese said sunday government planned cut student loan around three million australian wiping around billion australian dollar char
China's Premier Li Qiang to speak at import expo in Shanghai,Cnbc,CNBC,The European Union plans to send representatives to the country soon for more negotiations regarding price commitments in their ongoing EV tariff dispute.,"China's Premier Li Qiang will deliver remarks at the opening ceremony of this week's China International Import Expo, the Chinese commerce ministry said on Sunday, as Beijing seeks to show the falter… [+826 chars]",2024-11-03,https://www.cnbc.com/2024/11/03/chinas-premier-li-qiang-to-speak-at-import-expo-in-shanghai.html,https://image.cnbcfm.com/api/v1/image/107361581-1705661369157-gettyimages-1929256837-DAVOS_WEF_2024.jpeg?v=1705661391&w=1920&h=1080,china is premier li qiang to speak at import expo in shanghai china is premier li qiang will deliver remarks at the opening ceremony of this week is china international import expo the chinese commerce ministry said on sunday as beijing seeks to show the falter  chars,"['china', 'premier', 'li', 'qiang', 'speak', 'import', 'expo', 'shanghai', 'china', 'premier', 'li', 'qiang', 'deliver', 'remarks', 'opening', 'ceremony', 'week', 'china', 'international', 'import', 'expo', 'chinese', 'commerce', 'ministry', 'said', 'sunday', 'beijing', 'seeks', 'show', 'falter', 'chars']",china premier li qiang speak import expo shanghai china premier li qiang deliver remark opening ceremony week china international import expo chinese commerce ministry said sunday beijing seek show falter char
Harris makes surprise appearance on SNL and gives advice to fictional self played by Maya Rudolph | CNN Politics,Samantha Waldenberg,CNN,"Vice President Kamala Harris appeared on “Saturday Night Live,” making a surprise stop during the show’s last episode before Election Day to give her fictional self some advice ahead of the presidential election. “You got this,” Harris told her “SNL” alter eg…","Vice President Kamala Harris appeared on Saturday Night Live, making a surprise stop during the shows last episode before Election Day to give her fictional self some advice ahead of the presidential… [+3399 chars]",2024-11-03,https://www.cnn.com/2024/11/03/politics/kamala-harris-saturday-night-live/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2181941908.jpg?c=16x9&q=w_800,c_fill",harris makes surprise appearance on snl and gives advice to fictional self played by maya rudolph cnn politics vice president kamala harris appeared on saturday night live making a surprise stop during the shows last episode before election day to give her fictional self some advice ahead of the presidential  chars,"['harris', 'makes', 'surprise', 'appearance', 'snl', 'gives', 'advice', 'fictional', 'self', 'played', 'maya', 'rudolph', 'cnn', 'politics', 'vice', 'president', 'kamala', 'harris', 'appeared', 'saturday', 'night', 'live', 'making', 'surprise', 'stop', 'shows', 'last', 'episode', 'election', 'day', 'give', 'fictional', 'self', 'advice', 'ahead', 'presidential', 'chars']",harris make surprise appearance snl give advice fictional self played maya rudolph cnn politics vice president kamala harris appeared saturday night live making surprise stop show last episode election day give fictional self advice ahead presidential char
Florida’s convicted killer clown released from prison | CNN,Associated Press,CNN,"A woman who pleaded guilty to dressing as a clown and in 1990 murdering the wife of a man she later married was released from prison Saturday, ending a case that has been strange even by Florida standards.","Fort Lauderdale, Florida (AP) A woman who pleaded guilty to dressing as a clown and in 1990 murdering the wife of a man she later married was released from prison Saturday, ending a case that has bee… [+4152 chars]",2024-11-03,https://www.cnn.com/2024/11/03/us/florida-killer-clown-sheila-keen-warren-release/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230427111524-sheila-keen-warren-mugshot.jpg?c=16x9&q=w_800,c_fill",florida s convicted killer clown released from prison cnn fort lauderdale florida a woman who pleaded guilty to dressing as a clown and in  murdering the wife of a man she later married was released from prison saturday ending a case that has bee  chars,"['florida', 'convicted', 'killer', 'clown', 'released', 'prison', 'cnn', 'fort', 'lauderdale', 'florida', 'woman', 'pleaded', 'guilty', 'dressing', 'clown', 'murdering', 'wife', 'man', 'later', 'married', 'released', 'prison', 'saturday', 'ending', 'case', 'bee', 'chars']",florida convicted killer clown released prison cnn fort lauderdale florida woman pleaded guilty dressing clown murdering wife man later married released prison saturday ending case bee char
Kishan in hot water as India A at centre of ball-change controversy,Andrew McGlashan,ESPN Cric Info,The umpires replaced the ball before the start of the final day in Mackay,Melbourne Renegades Women,2024-11-03,https://www.espncricinfo.com/story/ishan-kishan-in-hot-water-as-india-a-at-centre-of-ball-change-controversy-1458198,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/390200/390274.6.jpg,kishan in hot water as india a at centre of ball change controversy melbourne renegades women,"['kishan', 'hot', 'water', 'india', 'centre', 'ball', 'change', 'controversy', 'melbourne', 'renegades', 'women']",kishan hot water india centre ball change controversy melbourne renegade woman
'Final piece of information' - Cummins makes ODI return but has eye on Australia A,Alex Malcolm,ESPN Cric Info,The Australia captain makes his international comeback against Pakistan on Monday but most of the talk remains about what comes later,"Australia's ODI questions: Opening 'fireworks', filling Green's spot and the back-up quicks",2024-11-03,https://www.espncricinfo.com/story/aus-vs-pak-final-piece-of-information-pat-cummins-makes-odi-return-but-has-eye-on-australia-a-1458199,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/390200/390273.6.jpg,final piece of information cummins makes odi return but has eye on australia a australia is odi questions opening fireworks filling green is spot and the back up quicks,"['final', 'piece', 'information', 'cummins', 'makes', 'odi', 'return', 'eye', 'australia', 'australia', 'odi', 'questions', 'opening', 'fireworks', 'filling', 'green', 'spot', 'back', 'quicks']",final piece information cummins make odi return eye australia australia odi question opening firework filling green spot back quick
Bhatia guides Melbourne Stars to handsome victory,AAP,ESPN Cric Info,Deepti Sharma made her first appearance of the season for Stars,Bagmati Province Under-19s,2024-11-03,https://www.espncricinfo.com/series/women-s-big-bash-league-2024-25-1442625/melbourne-stars-women-vs-hobart-hurricanes-women-12th-match-1442657/match-report,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/390200/390277.6.jpg,bhatia guides melbourne stars to handsome victory bagmati province under s,"['bhatia', 'guides', 'melbourne', 'stars', 'handsome', 'victory', 'bagmati', 'province']",bhatia guide melbourne star handsome victory bagmati province
"Rohit: I was not at my best as captain, and with the bat",ESPNcricinfo staff,ESPN Cric Info,"On his poor run with the bat, Rohit says, ""Sometimes it doesn't come off, and this series it hasn't come off, which I am very disappointed with""","NewsOn his poor run with the bat, Rohit says, ""Sometimes it doesn't come off, and this series it hasn't come off, which I am very disappointed with""",2024-11-03,https://www.espncricinfo.com/story/ind-vs-nz-wtc-rohit-sharma-i-was-not-at-my-best-in-leading-the-team-and-with-the-bat-1458243,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/390200/390282.6.jpg,rohit i was not at my best as captain and with the bat newson his poor run with the bat rohit says sometimes it does not come off and this series it has not come off which i am very disappointed with,"['rohit', 'best', 'captain', 'bat', 'newson', 'poor', 'run', 'bat', 'rohit', 'says', 'sometimes', 'come', 'series', 'come', 'disappointed']",rohit best captain bat newson poor run bat rohit say sometimes come series come disappointed
"Pat Cummins, and Pakistan: welcome back to ODI cricket",Andrew McGlashan,ESPN Cric Info,"The three-match series begins at the MCG, with both teams building towards the Champions Trophy","Rizwan announced white-ball captain; Babar, Afridi, Naseem return",2024-11-03,https://www.espncricinfo.com/series/australia-vs-pakistan-2024-25-1426544/australia-vs-pakistan-1st-odi-1426549/match-preview,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/388200/388202.6.jpg,pat cummins and pakistan welcome back to odi cricket rizwan announced white ball captain babar afridi naseem return,"['pat', 'cummins', 'pakistan', 'welcome', 'back', 'odi', 'cricket', 'rizwan', 'announced', 'white', 'ball', 'captain', 'babar', 'afridi', 'naseem', 'return']",pat cummins pakistan welcome back odi cricket rizwan announced white ball captain babar afridi naseem return
Abortion supporters at Women's March in Boston turn out in droves to support Harris presidency,"Sarah Rumpf-Whitten, Sophia Compton",Fox News,"Abortion supporters participated in the Woman's March in Boston, Massachusetts ahead of Election Day in a strong show of support for Vice President Kamala Harris.","Hundreds turned out to participate in the Woman's March in Massachusetts ahead of Election Day, in a strong show of support for Vice President Kamala Harris and abortion access.
People marched on Bo… [+3540 chars]",2024-11-03,https://www.foxnews.com/politics/abortion-supporters-womens-march-boston-turn-out-droves-support-harris-presidency,https://static.foxnews.com/foxnews.com/content/uploads/2024/11/a2.jpg,abortion supporters at women is march in boston turn out in droves to support harris presidency hundreds turned out to participate in the woman is march in massachusetts ahead of election day in a strong show of support for vice president kamala harris and abortion access people marched on bo  chars,"['abortion', 'supporters', 'women', 'march', 'boston', 'turn', 'droves', 'support', 'harris', 'presidency', 'hundreds', 'turned', 'participate', 'woman', 'march', 'massachusetts', 'ahead', 'election', 'day', 'strong', 'show', 'support', 'vice', 'president', 'kamala', 'harris', 'abortion', 'access', 'people', 'marched', 'bo', 'chars']",abortion supporter woman march boston turn drove support harris presidency hundred turned participate woman march massachusetts ahead election day strong show support vice president kamala harris abortion access people marched bo char
Biden calls Republicans the 'guys you'd like to smack in the a--': 'Just feel the unity',Lindsay Kornick,Fox News,"President Biden’s comment on how the GOP are guys “you’d like to smack in the a--"" on Saturday followed his suggestion Trump supporters were “garbage.""","Conservatives across social media piled on President Bidens recent comments on how Republicans were ""the kind of guys you'd like to smack in the a--"" Saturday.
Biden held a rally in his hometown of … [+2793 chars]",2024-11-03,https://www.foxnews.com/media/biden-calls-republicans-guys-youd-like-smack-a-just-feel-unity,https://static.foxnews.com/foxnews.com/content/uploads/2024/10/1d593aa4-biden.jpg,biden calls republicans the guys you would like to smack in the a just feel the unity conservatives across social media piled on president bidens recent comments on how republicans were the kind of guys you would like to smack in the a saturday biden held a rally in his hometown of  chars,"['biden', 'calls', 'republicans', 'guys', 'would', 'like', 'smack', 'feel', 'unity', 'conservatives', 'across', 'social', 'media', 'piled', 'president', 'bidens', 'recent', 'comments', 'republicans', 'kind', 'guys', 'would', 'like', 'smack', 'saturday', 'biden', 'held', 'rally', 'hometown', 'chars']",biden call republican guy would like smack feel unity conservative across social medium piled president bidens recent comment republican kind guy would like smack saturday biden held rally hometown char
Horse dies after racing at Breeders' Cup; PETA delivers scathing statement,Ryan Morik,Fox News,"Jayarebe, a 3-year-old colt from France, died Saturday at Del Mar Racetrack shortly after running in the $5 million Breeders' Cup Turf.","A horse died at the Breeders' Cup Saturday shortly after racing at Del Mar Racetrack in Del Mar, California.
Jayarebe, a 3-year-old from France, collapsed galloping off the track toward the stables … [+2150 chars]",2024-11-03,https://www.foxnews.com/sports/horse-dies-after-racing-breeders-cup-peta-delivers-scathing-statement,https://static.foxnews.com/foxnews.com/content/uploads/2024/11/jayarebe.jpg,horse dies after racing at breeders cup peta delivers scathing statement a horse died at the breeders cup saturday shortly after racing at del mar racetrack in del mar california jayarebe a  year old from france collapsed galloping off the track toward the stables  chars,"['horse', 'dies', 'racing', 'breeders', 'cup', 'peta', 'delivers', 'scathing', 'statement', 'horse', 'died', 'breeders', 'cup', 'saturday', 'shortly', 'racing', 'del', 'mar', 'racetrack', 'del', 'mar', 'california', 'jayarebe', 'year', 'old', 'france', 'collapsed', 'galloping', 'track', 'toward', 'stables', 'chars']",horse dy racing breeder cup peta delivers scathing statement horse died breeder cup saturday shortly racing del mar racetrack del mar california jayarebe year old france collapsed galloping track toward stable char
'American Pickers' star Mike Wolfe says he held Frank Fritz's hand when late co-star 'took his last breath',Ashley Hume,Fox News,"""American Pickers"" star Mike Wolfe recalled his final moments with Frank Fritz before his former co-star's death. Wolfe was by Fritz's side when he passed away last month.","""American Pickers"" star Mike Wolfe opened up about his final moments with Frank Fritz before his late co-star's death.
The 60-year-old TV personality and Fritz were childhood friends who co-hosted t… [+7869 chars]",2024-11-03,https://www.foxnews.com/entertainment/american-pickers-star-mike-wolfe-holding-frank-fritzs-hand-when-late-co-star-took-his-last-breath,https://static.foxnews.com/foxnews.com/content/uploads/2024/11/mikefrank.jpg,american pickers star mike wolfe says he held frank fritz is hand when late co star took his last breath american pickers star mike wolfe opened up about his final moments with frank fritz before his late co star is death the  year old tv personality and fritz were childhood friends who co hosted t  chars,"['american', 'pickers', 'star', 'mike', 'wolfe', 'says', 'held', 'frank', 'fritz', 'hand', 'late', 'co', 'star', 'took', 'last', 'breath', 'american', 'pickers', 'star', 'mike', 'wolfe', 'opened', 'final', 'moments', 'frank', 'fritz', 'late', 'co', 'star', 'death', 'year', 'old', 'tv', 'personality', 'fritz', 'childhood', 'friends', 'co', 'hosted', 'chars']",american picker star mike wolfe say held frank fritz hand late co star took last breath american picker star mike wolfe opened final moment frank fritz late co star death year old tv personality fritz childhood friend co hosted char
